
="",="(1)"
="",="q67"

="q67",=""
="tokai",="-0.058"
="",="(0.064)"

="c1",="0.453***"
="",="(0.076)"

="c2",="0.209***"
="",="(0.070)"

="nenrei",="0.699***"
="",="(0.108)"

="nenrei2",="-0.013***"
="",="(0.002)"

="daisotu1",="0.230***"
="",="(0.081)"

="daisotu2",="0.115*"
="",="(0.065)"

="nearoya",="0.005"
="",="(0.056)"

="income",="-0.230***"
="",="(0.037)"

="income2",="0.003**"
="",="(0.001)"

="ottoincome",="-0.042**"
="",="(0.020)"

="ottoincome2",="0.000"
="",="(0.001)"

="honninsyuugyou",="-0.708***"
="",="(0.132)"

="ottosyuugyou",="0.114"
="",="(0.254)"

="honninhatarakujikan",="0.027"
="",="(0.019)"

="ottohatarakujikan",="0.019"
="",="(0.012)"

="zehi",="0.083"
="",="(0.094)"

="jouken",="0.216***"
="",="(0.083)"

="ikukyu",="0.291***"
="",="(0.091)"

="ottojiei",="0.121"
="",="(0.089)"

="ottoservice",="-0.037"
="",="(0.098)"

="dm95",="0.056"
="",="(0.111)"

="dm99",="-0.050"
="",="(0.121)"

="dm00",="0.090"
="",="(0.157)"

="dm01",="-0.326*"
="",="(0.178)"

="dm02",="0.221"
="",="(0.171)"

="dm04",="0.063"
="",="(0.153)"

="dm05",="0.029"
="",="(0.162)"

="dm06",="0.017"
="",="(0.171)"

="dm07",="0.138"
="",="(0.142)"

="dm10",="-0.135"
="",="(0.139)"

="dm11",="0.190"
="",="(0.168)"

="dm12",="0.107"
="",="(0.170)"

="_cons",="-11.170***"
="",="(1.815)"

="N",="21370"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
